candidate_id,current_title,pipeline_rank,llm_rank,judge_rank,judge_mean_score,llm_fit_0_10,total_score,why
jasnaorv,HR Operations and Administration,11,30,24,60.75,6,0.6143,"Third by a hair. Strong role fit, an HR certification, explicit English, and excellent Excel/BI tooling, but UAE compliance is certificate-led rather than hands-on visa/WPS/PRO processing. Edges J67 on tenure stability and cleaner HR relevance."
liezelle-anne-n-394338252,Human Resources Assistant / HR Assistant,12,60,40,52.5,4,0.6085,"Best role/level match (current HR Assistant, entry, ~4 yrs) and best industrial fit (CSCEC construction employer plus industrial-sector recruitment), with strong, concretely-described recruitment-coordination evidence that matches a JD responsibility. Held back by thin UAE compliance depth (agency-side visa only; no WPS/payroll/labour-card/MOHRE), no HRIS or Excel named, and a recruitment-centric rather than generalist-admin profile. Only cipd_or_equivalent credited; Tagalog/Filipino not credited (no language declared)."
aiswarya-h,Assistant Manager Human Resources,13,136,39,53.0,0,0.6077,"The most complete core-HR operator in the batch with strong evidence quality, tenure, and a dedicated HR master's (credited as CIPD-equivalent). But the profile is over-leveled (Assistant Manager) for this hands-on assistant seat, its payroll/compliance depth is India-centric and generic on UAE specifics, and it carries no industrial-sector exposure — capping the two heaviest JD-distinctive sections (UAE compliance/PRO and industrial context)."
abbas-ali-khan-558a4b400,HR Coordinator/Welfare Officer,14,2,18,66.0,9,0.6029,"Very strong fit for this specific seat: the construction/labour-camp workforce context is a near-perfect match, backed by concrete detail (4,000+ technicians, accommodation, DEWA/tenancy, Emirates ID, visa medical). Hands-on coordinator level, a named HRIS (iTrent) plus Excel Expert, and solid records/ER/grievance/recruitment-coordination coverage. Held below J38 mainly by the welfare focus (no payroll/WPS processing depth), PRO-as-liaison rather than hands-on portals, and a recent switch into HR after several sales years."
amrutha-k-k-901814331,HR and Administration Officer,15,6,16,66.0,8,0.6005,"A strong compliance-and-operations profile with concrete visa + payroll + labour-law work and a full HR career, but weaker industrial context and choppy recent UAE tenure place it just behind the top two."
minahil-farooq-3961a8294,HR Assistant,16,92,22,63.0,3,0.5953,"The current HR Assistant title and the Transguard contract (explicit MOHRE/GDRFA visa lifecycle, UAE Labour Law, payroll validation) give real relevance and government-portal + English signals. Pulled down by a fragmented, largely non-HR career, thin HR tenure, and no HR-systems/Excel evidence."
megha-p-s,HR Executive,17,25,5,79.25,6,0.5933,"Strongest broad-generalist match. Current HR Executive at a precast-concrete (building-materials) manufacturer gives direct industrial context, with hands-on WPS payroll, visa/Emirates ID/labour-card/medical processing, UAE Labour Law compliance, and wide core HR ops (recruitment, onboarding, leave, grievances, files). Slightly above the 1-4yr band (mid, 5.9 yrs) but the recent role is hands-on and non-supervisory. Weaker on named PRO portals/gratuity, named HRIS, and preferred signals (no Arabic, no declared language, only an intro-to-PHR course). Highest overall coverage of this broad HR-assistant seat."
muhammed-akthab-kv-8056042b4,HR Manager,18,135,37,53.5,0,0.5928,"Carries the second-best PRO/visa/government-authority breadth in the batch (explicit MOHRE/GDRFA/ICP/Tasheel/Amer/DLD, multiple visa types, Emirates ID, PRO) plus Arabic and English — a genuine compliance asset. But it is materially over-leveled (HR Manager, senior, 7.7 yrs), the work history is messy and half-academic with overlapping dates, there is no industrial context, and no payroll/WPS depth. The compliance strength is offset by weak level, tenure-coherence, sector and career-mix fit."
shafas-hussain-5b9850214,"Human Resources Executive, (HR Operation & Payroll)",19,24,7,76.5,6,0.5907,"Strongest fit in this batch. Deep, hands-on UAE payroll for 900+ inside a civil/MEP construction employer, plus onboarding/offboarding, final settlement, and named systems (Hinawi, Dynamics 365). Entirely-HR career with an HR degree and certifications. Loses points only on unnamed WPS/portal/labour-card specifics, an empty languages field, and slightly senior-leaning framing."
shahul-p-74a571a8,Assistant Manager  - Human Resources,20,113,10,77.0,1,0.5906,"Elite on the 22-point compliance section, industrial context, and certification, but the profile is clearly supervisory/managerial (Assistant Manager, HRBP, Team Lead, budget planning), which the rubric penalizes for this junior admin seat. High section totals are capped by the deliberate role-fit deduction, placing it just below the well-matched junior candidate."
adnan-faisal-17b260211,HR Assistant,21,59,51,47.25,4,0.5894,"Good role/level fit (exact HR Assistant title, ideal tenure) with broad—if label-level—HR-ops coverage, an MBA in HR, blue-collar taxi-fleet exposure and a stable, coherent history. Ranks below J40 because it is thin on concrete UAE compliance/PRO depth (the largest, most role-critical section) and relies on generic labels with no role descriptions, limiting evidence quality."
muhammed-muhammed-bin-siddique-a270873a6,HR Executive cum Accountant,22,52,38,54.5,4,0.5854,"Weakest fit of the four. The recent seat is a half-accountant HR role with barely a year of true HR, and the compliance core the JD centres on — visas, labour cards, Emirates ID, WPS, PRO/MOHRE — is essentially absent (only self-declared basic labour-law knowledge and payroll support). Arabic and English are pluses, but the accounting/sales-heavy background, no HRIS, and non-industrial logistics context place it clearly last."
pratheeshajohnbosco,Assistant Manager Human Resources,23,96,34,55.0,2,0.5837,"Strongest core HR generalist with genuine UAE HR duties, some visa/payroll exposure, English and an HR-certification track. Held back by zero industrial-workforce context, shallower statutory/PRO depth, and a title creeping above the junior seat."
akhila-s-joseph-3045561a5,Human Resources Executive,24,122,15,67.5,1,0.5817,"Strong second. Very deep on the JD's compliance core — detailed end-to-end UAE visa processing, Emirates ID, and Edenred/WPS payroll — with a fully HR/TA career and solid records/onboarding operations. Held back by a retail trading/supermarket context (no industrial/blue-collar evidence), no declared languages, no HR certification, and 9 years slightly overshooting the assistant seat, plus messy duplicated entries."
saeeduzaman-k-b94663268,Human Resources Assistant,25,78,34,53.5,3,0.5776,"Best pure level/title fit in the batch (an actual Dubai HR Assistant at the ideal tenure) with solid described core HR operations and broad tool skills. However, its UAE compliance signal is only skill-label deep, it sits in pharma/healthcare with no industrial exposure, and it earns no preferred signals (empty languages, no certification, no PRO), leaving it just behind J07's deeper, better-evidenced HR record."
fenny-c-varghese-b31b391ab,Executive Assistant Human Resources,26,95,29,57.5,3,0.5773,"Second overall on the strength of a clean, mostly-HR career with real hands-on payroll, visa processing, and end-to-end recruitment coordination at exactly the target level. Falls short of J15 on explicit UAE Labour-Law/WPS/PRO depth and has no industrial exposure."
alicia-d-souza-43660a193,HR Executive,27,69,22,63.0,4,0.5761,"Solid mid-pack. Brings a genuine HR certification (CHRP/CHRM) and explicit blue-collar recruitment exposure, with a hands-on junior HR Executive profile that fits the level. Weaker than the top two on UAE compliance depth (visa coordination only, no Emirates ID/WPS/PRO breadth) and notably thin on named HR systems/Excel, with generic, partly empty descriptions."
ranjani-anthony-raj-chrp-chrm-751669227,Talent Acquisition Professional / Hr Executive,28,53,3,79.5,4,0.576,"Strongest overall fit: hands-on Dubai HR with concrete visa/Emirates ID/PRO/government-portal work, blue-collar recruitment exposure, an all-HR career, and solid systems. Held back only on missing WPS/named-portal/gratuity depth and an unnamed industrial employer."
thereseelizabeth,HR & Executive Assistant,29,36,47,49.5,5,0.575,"Moderate-low fit. Best pure level match (entry assistant, 2.5 yrs) with broad HR-ops exposure and strong systems (SuccessFactors/PayTrax/Kronos), but a hospitality/healthcare background rather than industrial and almost no UAE compliance/payroll/PRO evidence — the highest-weighted section. History is mostly short internships, and PHR is only a skill tag."
dhrissya-m-s-b9b41a230,HR Admin Executive,30,99,45,51.5,2,0.5728,"Solid junior HR-admin with real payroll and systems strength and explicit English, but the profile lacks UAE statutory/visa/PRO depth and industrial-workforce context central to this role, and its certifications are courses rather than a recognized HR credential."
muhammad-ak-4bb07a234,Assistant Manager Human Resources,31,74,18,66.5,4,0.5695,"Best UAE compliance/PRO profile in the batch (explicit WPS, internal PRO, visa lifecycle, establishment card), with a fully HR career. Held below J66 because the current title/seniority trend supervisory against a junior seat and there is no industrial context or preferred-language evidence. Government-portal signal credited via explicit internal-PRO work."
mohammedshakirpp,HR & Admin Executive,32,56,44,52.0,4,0.5689,"Good junior HR seat with strong HR-systems exposure and gratuity/settlement/payroll-assist credit, but thin on the JD's core UAE compliance/PRO block and with no industrial context or preferred signals, placing it mid-pack."
ayesha-nasim-188151196,Assistant Manager Human Resources,33,72,66,34.5,4,0.5686,"On paper the Nestle HR trajectory (including a manufacturing entity) and Excel/PowerPoint are relevant, but the key HR roles carry null descriptions, so there is almost no concrete evidence — and, critically, no explicit UAE compliance/payroll/visa/portal content at all, which is the highest-weighted section. Combined with a fragmented early career and no evidenced preferred signals, it ranks last despite the brand pedigree (which is not credited)."
leena-e-2973131b9,HR Executive,34,102,30,55.0,2,0.5682,"Solid junior UAE HR fit with genuinely evidenced visa/Emirates ID/labour-contract and UAE Labour Law work, which matters most for this compliance-heavy seat. Held back by very short recent tenures, no industrial-sector exposure, and missing WPS/portal/HRIS depth."
arya-kunnath-69039b221,Sr HR Officer,35,21,32,56.5,6,0.5654,"Solid all-HR UAE profile at the right junior/officer level, with an explicit line on issuing UAE visas/work permits and a named metal-contracting industrial employer, backed by strong systems (HRIS, ERP, Excel) and broad HR-ops skills. Career mix is fully HR. Held back by the absence of explicit WPS/Emirates ID/labour-card/named-portal/gratuity evidence, null role descriptions, empty languages, no CIPD, and a short stint plus gaps that soften tenure."
febamarybabu,HR Executive,36,114,58,44.5,1,0.5642,"Lower-mid. Correct level and a genuine junior UAE HR seat with recruitment/onboarding coordination and explicit English, but almost no UAE compliance/PRO depth and a very short HR track record after transitioning from teaching."
aswin-shanmugam-raghuraman,Human Resources Assistant,37,66,60,43.5,4,0.5633,"A strategic/EU-leaning HR background with good enterprise systems but no UAE compliance or hands-on operational evidence for this seat, plus a choppy, half-adjacent career history."
mariam-khalid-47a537211,Human Resources Assistant,38,12,17,66.5,8,0.5601,"Near-ideal seat and sector match with genuine contracting/blue-collar context, UAE labour-law + gratuity work, Oracle ERP, and Arabic. Held back by absent visa/PRO/WPS evidence and thin HR tenure following a recent career switch."
alyazyeh-a-2928b7155,Sr. Associate Officer - HR,39,124,27,58.0,1,0.5599,"Strongest overall fit in the batch: a genuinely hands-on, junior UAE HR seat with the most compliance-adjacent evidence here (payroll verification support, stated UAE Labor Law alignment, MOHRE trainee exposure) and richly documented core HR operations. Arabic credited from an explicit Arabic-language certification (not a name/demographic inference); government portals credited from the MOHRE Self-Hub traineeship. Held back by absent WPS/visa/PRO depth, non-industrial employer, and a fragmented early tenure pattern."
sufiyan-malik-,HR | Labor Relations Officer,40,7,21,66.0,8,0.5587,"Best fit for this compliance-and-industrial-heavy junior HR seat: explicit MOHRE/GDRFA/PRO visa-and-labour-card processing at a major construction employer, with concrete, specific evidence. Docked for a thin non-HR (IT) foundation, absent WPS/payroll/HRIS/Excel, and no language/certification signals."
feba-abraham-7009291a9,Senior HR Executive,41,62,26,59.25,4,0.5581,"Strong, well-evidenced hands-on UAE HR: genuine payroll under UAE Labour Law, visa lifecycle with PRO, full onboarding/offboarding, grievances and exit interviews, with coherent tenure and native English. The decisive drag versus J02/J38 is zero industrial/blue-collar exposure, no named HRIS and no explicit statutory-portal/WPS/labour-card depth, plus a slightly senior title profile."
sonali-kandari-7655441a9,Human Resources Assistant,42,91,49,48.5,3,0.558,"Genuine junior HR with recruitment and payroll/insurance exposure, but the payroll/compliance signal is Saudi-skewed and UAE-specific labour-law/visa/portal evidence is largely absent. No preferred signals credited and no industrial context keep it mid-low for this UAE manufacturing seat."
fathimath-farhana-parveen,HR Executive,43,19,13,69.5,6,0.5559,Excellent payroll/WPS/gratuity/end-of-service depth in a real manufacturing setting with strong core HR ops and evidence. Held below J64 mainly by absent visa/PRO/labour-card processing and zero credited preferred signals.
anshu-daswani-261aa3193,Assistant Manager Human Resources,44,64,41,51.75,4,0.5556,"HR-deep and stable in Dubai with the broadest relevant skill set (payroll, onboarding/offboarding, employee relations) and strong HR certifications, but over-leveled: the current Assistant Manager/senior profile mismatches a hands-on junior seat. No explicit UAE PRO/WPS/visa/gratuity depth, no named HRIS, and no industrial-sector employer (prior recruiting was IT). Credited cipd_or_equivalent; no Arabic/English creditable from the empty languages field."
selenaatari,Area HR Executive - Marketing and Finance,45,32,54,46.0,6,0.555,"Genuinely HR early-career track with the strongest systems (Oracle HCM plus Excel) and two explicit preferred languages (Arabic, English), plus some factory exposure at a manufacturer. But essentially no UAE compliance/payroll/PRO evidence and a corporate/strategic regional-HRBP profile that mismatches a hands-on SME admin seat, with no HR certification — leaving it lowest on job fit despite solid general HR quality."
vishnu-viswan-42a1zd,HR Executive,46,18,50,47.75,6,0.555,"Relevant industrial employer and a payroll/systems foundation, but the profile offers no descriptions and no UAE-specific compliance evidence, so it scores on labels and employer context alone."
roxanna-ghassemlou-007078191,HR Manager,47,132,62,40.25,0,0.5537,"Overqualified and managerial for an assistant seat, with mostly UK experience, tag-level (not hands-on) UAE compliance, no industrial context, jumpy overlapping tenure, and no preferred signals explicitly evidenced."
nayantharabalagopal,HR Executive,48,123,48,49.5,1,0.5535,"Solid generalist HR foundation and systems, but almost no UAE compliance/PRO evidence and zero industrial context make this a weaker fit for a visa/WPS-heavy factory HR seat."
mufeetha-p-v-951b9a281,Assistant Human Resources Officer,49,33,42,51.75,6,0.552,"Ideal level and genuinely strong industrial/building-materials context, which this HVAC-manufacturing role values. Ranked mid-pack because the current HR role is undescribed and UAE-specific compliance/visa/PRO evidence is generic rather than concrete."
reshmajose13,Human Resources Professional,50,128,70,28.0,1,0.5517,"A skills-only stub with no employment history, dates, or narrative. Modest section credit is given only where skills explicitly name relevant areas, but tenure, career mix, role-level, and evidence quality collapse to near-zero because there is nothing concrete to verify. Ranks last on job fit."
signey-a-a9ba51272,Assistant Manager Human Resources,51,61,,,4,0.5507,
kanittha-lanpisut-4653631b3,HR Business Partner / Executive Assistant,52,115,,,1,0.548,
saranya-s-97a935115,Human resources operations,53,49,25,60.0,4,0.5475,"Fourth. Genuinely strong on UAE visa/payroll processing, an HR certification, and SAP systems, but a churny, HR-diluted career history and duplicated records pull down tenure and career-mix, landing just behind J39."
sean-dsouza-7aa2b1214,HR & Administrative Officer & EA to Managing Director,54,68,,,4,0.546,
ayshaalneyadi-811a792ab,Human Resources Coordinator,55,70,,,4,0.5457,
hiroshi-de-silva-何洛诗）-4317a7207,HR Officer & Personal Assistant to CEO,56,111,,,1,0.5424,
priyanshi-negi-9b6480217,Human Resources Assistant,57,35,55,44.0,5,0.542,"The title and junior level are a perfect match and the career mix is genuinely HR/recruitment throughout, but the profile is thinly evidenced (mostly null descriptions, boilerplate, a single skills string) and offers no industrial context, no named systems/Excel, only generic visa/payroll hints, and no explicit preferred signals. Level fit alone cannot compensate for the missing compliance depth, sector fit and evidence quality."
shalini-ajith-734812373,Human Resources Assistant,58,55,,,4,0.5417,
dayana-reddy-908340287,HR and Payroll Administrator,59,14,28,58.0,7,0.5399,"Strong hands-on payroll/HR administrator with concrete named systems and UAE-Labour-Law gratuity/settlement work. Falls just below J45 because it lacks the visa/PRO/portal side of UAE compliance, has no evidenced industrial context, and provides no preferred-signal evidence."
sandra-amoafo-3819a435a,Human Resources Assistant,60,89,,,3,0.5372,
angelika-quiambao,Human Resources Administrative Assistant,61,98,,,2,0.5343,
akshaya-a-s-a855301b3,Human Resources Assistant,62,90,,,3,0.5338,
sabatinihussain,Human Resources Assistant,63,46,34,53.25,4,0.5334,"Records-oriented junior HR profile with English, an HR certification, and industrial-sector employers, but the critical UAE compliance/payroll/PRO dimension is completely unevidenced and every role lacks concrete descriptions. Ranks just behind J41, which actually demonstrates the visa/labour compliance this seat centers on."
devikaaneesh,Human Resources Assistant,64,10,61,41.5,8,0.5327,"Bottom of the batch despite the best HVAC/industrial employer fit. The profile lacks the decisive UAE compliance/WPS/PRO substance and is dominated by short internships with empty descriptions, leaving evidence quality low and most claims unverifiable."
arfa-arif-3948a71a3,Administrative & HR Assistant,65,77,,,3,0.5315,
khadija-suroor-khan-27a92021b,HR Executive,66,126,,,1,0.5302,
fathimath-safa-65b4b219b,HR Executive - Recruitment,67,48,43,52.0,4,0.5281,"Moderate fit. Real UAE HR/recruitment experience at a building-contracting employer with explicit English, but essentially no payroll/WPS/visa/PRO depth (the highest-weighted section), no named HRIS, and thin evidence — every role description is null and skills are generic. Earlier career partly non-HR."
nazreen-abdulmajeed-763701376,Human Resources Assistant,68,71,,,4,0.5263,
amjadkhan12,Admin & HR Coordinator,69,41,63,41.5,5,0.5251,"J13 is a genuine UAE-based hands-on HR coordinator with solid core HR operations (records, recruitment, onboarding, performance) and a strong MS Office/Excel signal, giving good level fit. However, the profile lacks the highest-weighted requirement — explicit UAE compliance/PRO/payroll depth (WPS, visas, labour cards, Emirates ID, MOHRE/Tasheel/GDRFA, gratuity), evidenced only by a generic labour-law compliance line. There is no HRIS, no industrial/blue-collar-sector employer (auctions/logistics, not manufacturing/HVAC), no PRO/portal work, and only English among preferred signals. The HR-relevant tenure is a minority of a 5.2-year, mixed (CS/logistics/IT) history with a gap. Net: a plausible generalist HR-admin fit but well short on the UAE-compliance and industrial-context signals this HVAC-manufacturing seat prioritizes."
sharath-p-nair-951a8a1b1,HR Compensations Executive,70,103,,,2,0.5234,
fidha-ashraf-a115b32b8,HR Operations Executive,71,109,,,1,0.5219,
sanjusasi,HR &Training Executive,72,76,,,3,0.5209,
preethi-erannagowda-a89837185,Assistant Manager Human Resources,73,138,,,0,0.5202,
gouri-prasad-psych,HR Coordinator & Talent Acquisition Lead,74,57,,,4,0.517,
redaabulwafa,Assistant Manager Human Resources,75,119,,,1,0.515,
donna-rose-ortiz-167590199,HR and Admin Officer,76,17,68,32.5,6,0.5128,"Genuine industrial/manufacturing exposure, but essentially no HR-relevant evidence: HR titles carry null descriptions, skills are fit-out/admin, and the narrative points to a founder track. Lowest job fit despite the sector match."
haydi-hani,HR Relationship Officer - Business Partner,77,84,,,3,0.5108,
firdouse-kouser-259262415,Human Resources Assistant,78,75,,,3,0.5108,
ahmed-k-547a273a9,Talent Acquisition Lead & HR Coordinator,79,120,,,1,0.5076,
annika-nicole-gulati-46778013b,Assistant Vice President Human Resources,80,143,,,0,0.507,
nazish-akhtar-514887249,Assistant Manager Human Resources,81,88,,,3,0.5049,
hkalsaeedi,Assistant Manager - HR,82,105,,,2,0.5039,
manjusha-kenwal,Assistant Human Resources Manager,83,106,,,2,0.5026,
balakrishna-balamourougan-a1165922b,HR and Admin Executive,84,83,,,3,0.5015,
efrelyn-ablay-81b008252,HR Admin Support - Listing Coordinator,85,47,69,32.25,4,0.5006,"Primarily a real-estate listing/admin coordinator with light HR-admin exposure and no UAE compliance or systems evidence. The standout asset is explicit Tagalog for the Filipino workforce, but overall job fit is low."
sulaikha-kp-abab91201,HR -Recruitment and Manpower Executive,86,125,,,1,0.5,
karen-kaye,Administrative & HR Coordinator,87,16,31,54.5,6,0.4993,"Strongest job fit of the three: concrete, hands-on UAE visa/labour-card/Emirates ID/cancellation/final-settlement processing directly addresses the role's core PRO/compliance work, backed by real records, onboarding and offboarding evidence plus strong MS Office. Held back by no WPS/payroll or Labour Law specifics, no named HRIS, no industrial-sector exposure, and a career mix that is substantially non-HR."
frincy-francis-1949b120b,Assistant Manager Human Resources,88,121,,,1,0.4986,
muhammedadil69,HR & Operations Manager And Admin Officer,89,137,,,0,0.4973,
roan-garambas-1b0092290,HR & Admin Executive,90,27,55,44.25,6,0.4943,"Experienced, stable, certified HR professional with strong HR-relevance and tenure, but the evidence is Philippines/catering-centric with no UAE statutory/visa/PRO depth, no HRIS/Excel, and no industrial context. Per instructions, no Tagalog credit given the empty languages field."
rajasree-devadas-81aa83214,Human Resources Associate,91,23,46,50.0,6,0.4933,"Credible HR-systems exposure and a real SHRM-CP boost preferred signals, but the profile is light on hands-on UAE compliance/PRO work and leans project/BPO, keeping overall fit modest for this admin-compliance seat."
anjali-nair-h-21a358128,HR Coordinator -IT,92,11,52,47.0,8,0.4905,"Excellent industrial context and single-employer continuity with solid office tooling, but the UAE compliance/payroll/PRO core is only a generic 'compliance' mention and HR-ops detail is thin. Genuine HR time is short relative to adjacent document-control/QA work, capping fit."
adv-basil-sajan-80b572280,Human Resources Executive,93,51,,,4,0.4875,
lipna-s-144762201,Head of HR | Executive Assistant to CEO,94,145,,,0,0.4869,
catherine-njoroge-539974257,Human Resources Executive,95,29,64,39.0,6,0.4852,"Genuine, concretely described UAE HR operations for a blue-collar domestic-worker workforce at the right level, but lacks UAE statutory/visa/payroll/PRO evidence, HRIS, and any preferred-signal (no listed language or certification), placing it near the bottom for this compliance-heavy role."
diksha-dey-971932253,HR Recruitment coordinator,96,45,59,43.75,5,0.4847,"Right junior level and real HR recruitment-coordination evidence (sourcing, screening, scheduling, trackers, onboarding), with a current facilities-management (blue-collar) employer and ATS/CRM/Excel. But no UAE compliance/payroll/PRO evidence whatsoever, scope confined to recruitment, no preferred signals, and only ~9 months of UAE experience with a blank current-role description. Middle-lower fit."
rachita-kapadia-05902717a,Cluster Assistant Human Resources Manager,97,118,,,1,0.4843,
shokhidarustamova,Assistant Manager Human Resources,98,112,,,1,0.4815,
veeshma-mohan-9a0247195,Human Resources Assistant,99,85,,,3,0.4814,
busisiwe-ndlovu-8176981a3,HR and Training Executive,100,100,,,2,0.4807,
aishwarya-rajeevkumar-105288323,Human Resources Assistant,101,63,,,4,0.4803,
athullya-ulkrishtan-929520273,HR Executive -Talent Acquisition,102,65,,,4,0.4797,
aisha-muzaffar-b464ab252,Real Estate Operations & Hr assistant,103,67,,,4,0.4786,
sharal-zeena-vas-a9ab3922a,HR Recruitment Executive,104,140,,,0,0.4751,
christyl-mae-pada,Human Resources Assistant,105,79,,,3,0.4737,
shamma-almansoori-6649102b7,Administrator Fasility management,106,31,53,46.0,6,0.4714,"Uniquely combines the JD's two headline nice-to-haves — genuine industrial/LNG + facilities workforce context and declared Arabic + English. But the heaviest must-have sections are weak: HR is a minor, short slice of a scattered 12-year career dominated by fashion design and facilities admin, the current seat isn't HR, and UAE compliance is only payroll-prep-deep. Strong preferred signals can't offset thin core-HR relevance and continuity."
chirag-sapara-27780311a,Assistant HR Manager,107,108,,,2,0.4659,
abdullah-al-zadjali-2553b7275,HR Admin & Operation Officer,108,28,57,44.5,6,0.4659,"Mid-tier. Solid hands-on HR admin at the right level with real (if brief) manufacturing exposure, but the defining UAE compliance/WPS/PRO depth is essentially absent in the current UAE seat, and a debt-collection detour weakens the story."
umehanikhanum,HR Recruiter & Operations Executive,109,104,,,2,0.4646,
mohammed-haziq-baig-692225232,HR and Administration Manager,110,144,,,0,0.4637,
galmangalino,HR & Operations Executive,111,38,65,37.0,5,0.4615,"A plausible junior UAE HR profile with a coherent, mostly-HR three-year path at the right hands-on level, but the two HR roles carry null descriptions, so UAE compliance/PRO depth rests only on generic 'Payroll' labels — no visa, WPS, labour card, Emirates ID, portal, or labor-law evidence. No HRIS, no industrial employer, empty languages/certifications, and label-heavy evidence cap the score well below the stronger candidates."
hana-salik-77384b231,Human Resources Administrative Assistant,112,81,,,3,0.4602,
moideen-ziad-k-551913371,Human Resources Assistant,113,15,73,30.0,7,0.457,"Two real positives for this JD — a junior HR seat at a contracting employer and hands-on PRO/documents-clearing (government-portal) exposure. But the HR role carries no described duties, the bulk of the career is unrelated networking/CCTV technician work, and there is no HRIS or concrete compliance/payroll evidence. Relevance and core-HR depth are too thin to rank with the HR-focused candidates."
dana-al-bastaki-bb23471a3,Assistant Manager Human Resources,114,107,,,2,0.4567,
shubhra-chauhan-161357234,Assistant Manager Human Resources,115,133,,,0,0.4546,
jamela-sagang-9bb93a2ab,HR and Documentation Officer,116,93,,,3,0.4532,
mufitha-k-m-54b2a31a2,HR Executive/Talent Acquisition Specialist,117,129,,,1,0.4526,
wdeea-nashwan-0a955b1b3,Human Resources Assistant,118,58,,,4,0.4526,
melanie-c-silva,HR & Recruitment Executive,119,110,,,1,0.4524,
saharkhattab,Human Resources Officer,120,101,,,2,0.4518,
